Indonesia,Javanese
desa kedondong pelaksanaan fgd di desa kedondong dilakukan sebagaimana halnya dengan fgd di desa cibulakan,dhusun kedondong pamontenan fgd ing dhusun kedondongdipuntumindakake sami kaliyan halnya kaliyan fgd ing dhusun cibulakan 
dalam fgd tingkat desa ini juga diperkirakan proporsi klasifikasi kesejahteraan keluarga tingkat desa dan masingmasing rw,lebet fgd tingkat dhusun niki ugi dipunkintenakenaken proporsiklasifikasi kesejahteraan keluarga tingkat dhusun uga masingmasing rw 
klasifikasi  indikator  dan ciriciri kesejahteraan keluarga yang ada di desa kedondong telah diuraikan pada bab  di atas,klasifikasi indikator uga ciriciri kesejahteraan keluargaingkang enten ing dhusun kedondong sampun diuraikan ing bab ing inggil
di tingkat desa  proporsi klasifikasi kesejahteraan keluarga adalah ,ing tingkat dhusun proporsi klasifikasi kesejahteraan keluargayaiku 
 keluarga di desa kedondong termasuk ke dalam kelompok kaya   kelompok cukup  dan  kelompok melarat lihat tabel , keluarga ing dhusun kedondong klebet mlebet kelompoksugih kelompok cekap uga kelompok melarat ningal tabel 
fgd memperkirakan hanya terdapat  keluarga kaya   keluarga cukup  dan  keluarga melarat,fgd ngintenaken namung enten keluarga sugih keluarga cekap uga keluarga melarat 
perkiraan proporsi kesejahteraan keluarga di rw  adalah ,pangudakawis proporsi kesejahteraan keluarga ing rw yaiku 
 keluarga kaya   keluarga cukup  dan  keluarga melarat, keluarga sugih keluarga cekap uga keluargamelarat 
 urutan kesejahteraan keluarga antarrw desa cibulakan, urutan kesejahteraan keluarga ternarw dhusun cibulakan 
desa kedondong peserta fgd mengurutkan kesejahteraan keluarga antarrw yang ada di desa kedondong,dhusun kedondong pamawi fgd ngurutaken kesejahteraankeluarga ternarw ingkang enten ing dhusun kedondong 
 urutan kesejahteraan keluarga antardusun , urutan kesejahteraan keluarga antardusun 
pengurutan kesejahteraan keluarga antardusun hanya dilakukan di desa cibulakan cianjur yang desanya dibagi atas tiga dusu,pangurutan kesejahteraan keluarga antardusun namung dipuntumindakake ing dhusun cibulakan cianjur ingkang dhusunipun dipunpara inggil telu dusu 
dusun  terdiri atas rw  dan rw  dusun  terdiri atas rw  dan rw  dan dusun  terdiri atas rw  dan rw ,dusun badan inggil rw uga rw dusun badan inggil rw uga rw uga dusun badan inggil rw uga rw 
 urutan kesejahteraan keluarga di rt  rw  desa cibulakan , urutan kesejahteraan keluarga ing rt rw dhusun cibulakan 
klasifikasi  indikator dan ciriciri kesejahteraan keluarga yang ada di rt  rw  telah dijelaskan pada uraian di atas,klasifikasi indikator uga ciriciri kesejahteraan keluarga ingkang enten ing rt rw sampun dipunpertelakaken ing uraian ing inggil 
seluruh keluarga ini kemudian didaftar satu per satu dan dikelompokkan ke dalam klasifikasi kesejahteraan keluarga,sedaya keluarga niki lajeng didaftar setunggal saben setunggal uga dikelompokkan mlebet klasifikasi kesejahteraan keluarga 
 urutan kesejahteraan keluarga di rt  rw  desa cibulakan , urutan kesejahteraan keluarga ing rt rw dhusun cibulakan 
 urutan kesejahteraan keluarga di rt  rw  desa kedondong , urutan kesejahteraan keluarga ing rt rw dhusun kedondong 
dalam pengidentifikasian jumlah keluarga yang ada di rt  rw  oleh peserta fgd diperoleh jumlah keluarga sebanyak  kk,lebet pengidentifikasian wilangan keluarga ingkang enten ing rt rw dening pamawi fgd dipundeningaken wilangan keluargasakathah kk 
 urutan kesejahteraan keluarga di rt  rw  desa kedondong , urutan kesejahteraan keluarga ing rt rw dhusun kedondong 
 proporsi kesejahteraan keluarga antarrw , proporsi kesejahteraan keluarga ternarw 
dari  angka persentase yang diperbandingkan tidak terdapat satupun yang memiliki angka persentase yang sama persis,saking angka persentase ingkang dipunbandingakenaken mboten enten setunggala ingkang nggadhahi angka persentaseingkang sami persis 
walau berbeda  angka persentase antara hasil fgd dan hasil perhitungan spkm ini memiliki pola distribusi yang sama,walau benten angka persentase antawis pikantuk fgd uga pikantuk petang spkm niki nggadhahi pola distribusi ingkang sami
hal yang sama juga berlaku juga untuk rwrw yang lainnya,hal ingkang sami ugi majeng ugi konjuk rwrw ingkang bentenipun 
sementara itu  terdapat juga disparitas dalam hal kesejahteraan antara hasil spkm dan hasil fgd di tingkat rw,sementara punika  enten ugi disparitas lebet hal kesejahteraanantawis pikantuk spkm uga pikantuk fgd ing tingkat rw 
hanya terdapat satu proporsi kesejahteraan hasil fgd yang sama dengan proporsi kesejahteraan hasil spkm,namung enten setunggal proporsi kesejahteraan pikantuk fgdingkang sami kaliyan proporsi kesejahteraan pikantuk spkm 
perbedaannya berkisar antara dua dan  basis poin,bedanipun berkisar antawis kalih uga basis poin 
pembahasan berikut mengenai proporsi kesejahteraan keluarga untuk masingmasing rw akan menjelaskan lebih jauh tentang hal ini,pangrembagan punika ngengingi proporsi kesejahteraankeluarga konjuk masingmasing rw badhe mertelakaken langkung tebih babagan hal niki 
pola distribusi di rw  berbeda dengan di rw ,pola distribusi ing rw benten kaliyan ing rw 
namun  besaran antara perkiraan peserta fgd dan perhitungan spkm secara bergantian lebih besar,nanging agengan antawis pangudakawis pamawi fgd uga petang spkm sacara nggantosan langkung ageng 
kemudian  pada proporsi kesejahteraan kelompok miskin  hasil perhitungan spkm lebih besar daripada hasil perkiraan peserta fgd,lajeng ing proporsi kesejahteraan kelompok miskin pikantuk petang spkm langkung ageng daripada pikantuk pangudakawis pamawi fgd 
di rw   proporsi kesejahteraan keluarga memiliki kemiripan dengan di rw ,ing rw proporsi kesejahteraan keluarga nggadhahi kemiripankaliyan ing rw 
di rw  proporsi kesejahteraan keluarga memiliki pola yang berbeda dengan pola di rwrw lainnya,ing rw proporsi kesejahteraan keluarga nggadhahi polaingkang benten kaliyan pola ing rwrw bentenipun 
misalnya kebutuhan akan sayur  buah  dan sejenisnya tidak perlu mereka beli sebab semua itu dihasilkan dari kebun sendiri,kados ta kebetahan badhe sayur buah uga sawarninipun mboten betah piyambake sedaya tumbas amergi sedaya punika dipunpikantukaken saking kebon piyambak 
perbedaan yang tipis ini menunjukkan bahwa hasil perhitungan spkm pada umumnya sesuai dengan hasil fgd,bedan ingkang tipis niki nunjukaken menawi pikantuk petang spkm ing umumnya sami kaliyan pikantuk fgd 
untuk kelompok melarat  angka proporsi sama persis antara hasil perkiraan peserta fgd dengan hasil perhitungan spkm,konjuk kelompok melarat angka proporsi sami persis antawis pikantuk pangudakawis pamawi fgd kaliyan pikantuk petang spkm 
 urutan kesejahteraan keluarga antarrw desa cibulakan , urutan kesejahteraan keluarga ternarw dhusun cibulakan 
kedua hasil pemeringkatan ini kemudian diperbandingkan,kaping kalih pikantuk pemeringkatan niki lajeng dipunbandingakenaken 
peserta fgd menilai bahwa kesejahteraan keluarga di rw  lebih baik dibanding kesejahteraan keluarga di rw ,pamawi fgd ngaos menawi kesejahteraan keluarga ing rw langkung sae dipunbanding kesejahteraan keluarga ing rw 
ada beberapa argumen yang bisa menjelaskan hal ini,enten beberapa argumen ingkang sanguh mertelakaken hal niki 
 urutan kesejahteraan keluarga antardusun di desa cibulakan , urutan kesejahteraan keluarga antardusun ing dhusun cibulakan 
 urutan kesejahteraan keluarga di rt  rw  desa cibulakan , urutan kesejahteraan keluarga ing rt rw dhusun cibulakan 
namun  peserta fgd menemui kesulitan mengurutkan semua keluarga yang ada di rt  karena jumlah populasi rt ini sangat besar,nanging pamawi fgd memoni kerekaosan ngurutaken sedaya keluarga ingkang enten ing rt amargi wilangan populasi rtniki ageng sanget
hasil pengurutan kesejahteraan keluarga di rt  adalah sebagai berikut,pikantuk pangurutan kesejahteraan keluarga ing rt yaiku dados punika 
 urutan kesejahteraan keluarga di rt  rw  desa cibulakan , urutan kesejahteraan keluarga ing rt rw dhusun cibulakan 
hasil ini menunjukkan bahwa perhitungan spkm mampu memprediksi urutan kesejahteraan keluarga dengan keakuratan yang cukup tinggi,pikantuk niki nunjukaken menawi petang spkm saged memprediksi urutan kesejahteraan keluarga kaliyan keakurataningkang cekap inggil 
 urutan kesejahteraan keluarga di rt  rw  desa kedondong, urutan kesejahteraan keluarga ing rt rw dhusun kedondong 
proporsi kesejahteraan keluarga di setiap rw di kedua desa menunjukkan pola distribusi yang sama,proporsi kesejahteraan keluarga ing saben rw ing kaping kalih dhusun nunjukaken pola distribusi ingkang sami 
lebih dari itu  spkm juga mampu memprediksi urutan kesejahteraan keluarga dengan keakuratan yang cukup tinggi,langkung saking punika  spkm ugi saged memprediksi urutan kesejahteraan keluarga kaliyan keakuratan ingkang cekap inggil 
tanpa mereka  studi ini tidak mungkin terlaksana,tanpa piyambake sedaya studi niki mboten bokmenawi kelampahan 
studi baseline kualitatif pnpm generasi dan pkh,studi baseline kualitatif pnpm generasi uga pkh 
data dasar kualitatif  pnpm generasi  pkh  pelayanan dasar kesehatan ibu dan anak  pelayanan pendidikan dasar  indonesia,data dasar kualitatif pnpm generasi pkh paladosan dasarkesarasan ibu uga anak  paladosan pamucalan dasar indonesia 
pertanyaan utama penelitian adalah  mengapa sebagian masyarakat tidak menggunakan pelayanan dasar kesehatan ibu dan anak,pitakenan utami penelitian yaiku kenging punapa sakunjukan masyarakat mboten ngginakaken paladosan dasar kesarasan ibu uga anak 
dan  mengapa sebagian masyarakat tidak mendaftarkan anakanak mereka ke sdmi danatau smpmts,uga kenging punapa sakunjukan masyarakat mboten mendaftarkan anakanak piyambake sedaya datheng sdmun ugautawi smpmts 
jawaban dari pertanyaan tersebut digali dari sisi supply ketersediaan pelayanan dan demand penggunaan pelayanan,wangsulan saking pitakenan kesebat dipunduduk saking sisisupply ketersediaan paladosan uga demand pangginan paladosan 
penelitian lapangan di setiap desakelurahan dilakukan ratarata selama  minggu,penelitian lapangan ing saben dhusunkelurahan dipuntumindakake radinradin salebetipun minggu 
 wilayah penelitian provinsi jawa barat dan provinsi ntt dipilih sebagai wilayah studi baseline kualitatif ini, wilayah penelitian provinsi jawi kilen uga provinsi nttdipunpileh dados wilayah studi baseline kualitatif niki 
empat kabupaten dan satu kota terpilih menjadi wilayah sampel dalam studi ini,sekawan kabupaten uga setunggal kitha kepileh dados wilayahsampel lebet studi niki 
secara total  studi baseline kualitatif ini telah dilakukan di  desakelurahan yang mewakili pedesaan dan perkotaan,sacara total studi baseline kualitatif niki sampun dipuntumindakake ing dhusunkelurahan ingkang makili pandhusunan uga kithan 
karakteristik wilayah akses fisik untuk mencapai sebagian besar desa di ntt dan wilayah terpencil di jawa barat sulit,karakteristik wilayah akses fisik konjuk mencapai sakunjukan ageng dhusun ing ntt uga wilayah terpencil ing jawi kilen rekaos 
di ntt  sebagian besar jalan merupakan pengerasan berbatu serta berlumpur pada waktu hujan,ing ntt sakunjukan ageng radin ngrupikaken pangatosan nyela mawi berlumpur ing wanci jawah 
beberapa dusun dipisahkan oleh sungai tanpa jembatan sehingga tidak bisa dilalui selama musim hujan,beberapa dusun dipunsapihaken dening lepen tanpa tretek dadosipun mboten sanguh kelangkungan salebetipun musimjawah 
hampir tidak ada sarana angkutan pedesaan  kecuali ojek yang relatif mahal,hampir mboten enten pirantos usungan pandhusunan kajawi ojek ingkang relatif awis
di jawa barat  beberapa desa relatif mudah diakses dan sarana transportasi cukup memadai,ing jawi kilen  beberapa dhusun relatif gampil diakses uga pirantos transportasi cekap ngenteni 
di sebagian desa  tersedia angkutan pedesaan dan hampir semua desa memiliki banyak ojek,ing sakunjukan dhusun sampun dicawis usungan pandhusunan uga hampir sedaya dhusun nggadhahi kathah ojek 
namun demikian  angkutan desa tidak mencapai beberapa desa dan dusun terpencil,nanging mekaten usungan dhusun mboten mencapai beberapadhusun uga dusun terpencil 
mata pencaharian sebagian besar penduduk adalah petani dan nelayan,mripat pencaharian sakunjukan ageng para wargi yaiku petaniuga nelayan 
bedanya  lahan di ntt kurang subur dan berbatu  sementara di jawa barat tanahnya relatif subur,bedanipun pasiten ing ntt kirang subur uga nyela  sementaraing jawi kilen sitinipun relatif subur 
selain itu  ternak  kaki empat  merupakan salah satu usaha perekonomian masyarakat di ntt,kajawi punika  ingahingah  suku sekawan  ngrupikaken salah satunggal upados perekonomian masyarakating ntt 
fasilitas dasar  seperti listrik dan air  di sebagian besar desa di ntt yang diteliti sangat minim,fasilitas dasar kados listrik uga toya  ing sakunjukan ageng dhusun ing ntt ingkang diteliti minim sanget 
fasilitas yang tersedia tersebut adalah bidan desa  polindes pos bersalin desa  dan posyandu,fasilitas ingkang sampun dicawis kesebat yaiku bidan dhusun polindes pos nglairaken dhusun uga posyandu 
di wilayah terpencil dengan akses sulit di ntt  tidak semua bidan desa bersedia tinggal di polindes atau desa,ing wilayah terpencil kaliyan akses rekaos ing ntt mboten sedaya bidan dhusun purun tilar ing polindes utawi dhusun 
dusundusun lokasinya jauh dari keberadaan bidan desa atau polindes,dusundusun lokasinya tebih saking kewontenan bidan dhusun utawi polindes
idealnya  untuk wilayah yang luas diperlukan lebih dari satu bidan desa,idealnya konjuk wilayah ingkang wiyar dibetahaken langkung saking setunggal bidan dhusun 
posyandu telah ada di semua desa  bahkan di setiap dusun,posyandu sampun enten ing sedaya dhusun bahkan ing saben dusun 
hampir semuanya aktif  rutin diselenggarakan setiap bulan  dan dikelola oleh tiga hingga lima kader,hampir sedayanipun aktif rutin dipunwontenaken sawulanan uga dikelola dening telu ngantos gangsal kader 
meskipun demikian kehadiran peserta balita dan bumil masih rendah,parandosipun kedhatengan pamawi balita uga bumil taksih andhap 
selama ini  posisi kader posyandu sangat sentral dalam pelayanan kia dan pelayanan masyarakat lainnya,salebetipun niki  posisi kader posyandu sentral sanget lebet paladosan kia uga paladosan masyarakat bentenipun 
meskipun jumlah dan fungsinya berkurang  dukun beranak masih tetap ada,senaosa wilangan uga ginanipun ngirang  dukun nduwe anak taksih tetap enten 
sekitar satu hingga lima dukun beranak masih melayani masyarakat di semua desakelurahan,sekitar setunggal ngantos gangsal dukun nduwe anak taksih ngladosi masyarakat ing sedaya dhusunkelurahan 
di beberapa desakelurahan di ntt  jumlah dukun beranak malahan bertambah,ing beberapa dhusunkelurahan ing ntt wilangan dukun nduwe anak nglinton minggah 
hanya di wilayah yang terpencil danatau banyak penduduk miskin  masih ada yang tidak menggunakan kia modern,namung ing wilayah ingkang terpencil ugautawi kathah para wargi miskin taksih enten ingkang mboten ngginakaken kiamodern 
sebagian menggunakan dukun beranak dan sebagian dibantu oleh suami sendiri  keluarga dekat  atau tetangga pada saat melahirkan,sakunjukan ngginakaken dukun nduwe anak uga sakunjukan dibantu dening semah piyambak keluarga celak utawi tanggi ing kala babaran 
alasan masyarakat memilih bidan desa dilandasi oleh pengetahuan mereka bahwa secara medis bidan desa bisa dipertanggungjawabkan,alasan masyarakat mileh bidan dhusun dilandasi dening pangasumerepan piyambake sedaya menawi sacara medisbidan dhusun sanguh dipertanggungjawabkan 
paling banyak imunisasi dilakukan di posyandu,paling kathah imunisasi dipuntumindakake ing posyandu 
 anak takut dimasukkan ke timbangan dacin , anak ajrih dipunmlebetaken datheng timbangan dacin 
 orang tua sibuk bekerja atau repot misalnya  berjualan di pasar  melaut  panen , tiyang sepuh ribet nyambut damel utawi ewed kados ta mande ing peken nyeganten panen 
 persepsi orang tua yang salah tentang penimbangan balita  yaitu tidak ada hubungannya dengan kesehatan , persepsi tiyang sepuh ingkang klintu babagan penimbanganbalita yaiku mboten enten hubunganipun kaliyan kesarasan 
 sedang banjir  yang artinya sungai tidak bisa diseberangi, saweg bena ingkang artosipun lepen mboten sanguh diseberangi 
selain itu  ada beberapa ibu yang ingin ditemani oleh dukun beranak pada saat melahirkan dengan bidan desa,kajawi punika  enten beberapa ibu ingkang kersa dipunkancani dening dukun nduwe anak ing kala babaran kaliyan bidandhusun 
akses keuangan berkaitan dengan mahalnya biaya melahirkan dan transportasi  dan keharusan bekerja jauh dari pemukiman,akses kartan berkaitan kaliyan awisipun biaya babaran uga transportasi uga kekedahan nyambut damel tebih saking pangawisan 
tokoh agama memberikan dukungan dan dorongan terhadap penggunaan kia modern,tokoh agami nyukakaken dukungan uga surungan majeng pangginan kia modern 
 pelayanan pendidikan dasar  ketersediaan secara kuantitas  keberadaan sd di setiap desa dinilai sudah mencukupi, paladosan pamucalan dasar ketersediaan sacara kuantitas kewontenan sd ing saben dhusun dipunaos sampun nyekapi
bahkan  di ntt  kondisinya memprihatinkan,bahkan ing ntt kondisinya mrihatosaken 
selain jumlah kelasnya kurang  banyak kelas di sdsd tersebut sudah tidak layak pakai,kajawi wilangan kelasnya kirang  kathah kelas ing sdsd kesebat sampun mboten prayogi angge 
eternitnya sudah jebol dan bangkubangkunya kurang terawat,eternitnya sampun jebol uga bangkubangkunya kirang terawat 
beberapa sd tidak memiliki perpustakaan kalaupun memiliki  kondisinya tidak layak dan koleksi bukunya tidak lengkap,beberapa sd mboten nggadhahi perpustakaan menawia nggadhahi kondisinya mboten prayogi uga koleksi bukunyagothang 
begitu pula untuk alat peraga dan alatalat olahraga jumlahnya masih minim,mekaten ugi konjuk pirantos peraga uga pirantospirantos olahraga wilanganipun taksih minim 
fasilitas smpn sekolah menengah pertama negeri umumnya berada di ibu kota kecamatan,fasilitas smpn sekolah madya setunggal negeri umumnyawonten ing ibu kitha kecamatan 
di jawa barat  ratarata jumlah smp per kecamatan lebih dari tiga  sedangkan di ntt  hanya satu atau dua saja,ing jawi kilen  radinradin wilangan smp saben kecamatanlangkung saking telu  sawegaken ing ntt namung setunggal utawi kalih kamawon 
dalam situasi normal  daya tampung sd cukup memadai ,lebet situasi normal daya tampung sd cekap ngenteni 
bahkan  beberapa sd di pedesaan kekurangan murid,bahkan beberapa sd ing pandhusunan kekirangan murid 
keterbatasan daya tampung juga terjadi pada smpsmp favorit karena biasanya masyarakat memilih smp yang ada ibu kota kecamatan,keterbatasan daya tampung ugi kedadosan ing smpsmp favoritamargi biyasanipun masyarakat mileh smp ingkang enten ibu kitha kecamatan 
di hampir semua wilayah  anak dengan keterbelakangan ditolak masuk sd,ing hampir sedaya wilayah anak kaliyan keterbelakanganditolak mlebet sd 
bagi sekolah yang kekurangan murid  dana bos bantuan operasional sekolah yang diterima sedikit,kunjuk sekolah ingkang kekirangan murid dana bos bantuanoperasional sekolah ingkang katampi sekedhik 
secara umum  tidak ada kendala dalam menjangkau kelompok tertentu guna mendorong mereka supaya menyekolahkan anaknya ke sd,sacara umum mboten enten kendala lebet menjangkaukelompok tertentu gina nyurung piyambake sedaya supados menyekolahkan anakipun datheng sd 
namun  lain halnya dengan kelompok tertentu yang tidak menyekolahkan anak mereka ke smp,nanging benten halnya kaliyan kelompok tertentu ingkang mboten menyekolahkan anak piyambake sedaya datheng smp 
berdasarkan hasil pengamatan di beberapa sekolah  tampak bahwa tingkat absensi guru cukup tinggi,berdasarkan pikantuk panyangetan ing beberapa sekolah katingal menawi tingkat absensi guru cekap inggil 
secara umum  komite sekolah  baik di sd maupun di smp  tidak berfungsi secara optimal dan yang banyak berperan hanya ketuanya,sacara umum komite sekolah sae ing sd kersaa ing smp mboten nduwe gina sacara optimal uga ingkang kathah nyabenan namung pandeganipun 
sebagian masyarakat ntt juga lebih mementingkan adat dan kehormatan,sakunjukan masyarakat ntt ugi langkung migatikaken adat uga kebektosan 
mereka bersedia menjual ternak mereka untuk kepentingan adat tapi tidak untuk kepentingan sekolah,piyambake sedaya purun sade ingahingah piyambake sedaya konjuk kewigaten adat nanging mboten konjuk kewigaten sekolah 
masalah akses keuangan berkaitan dengan biaya penunjang sekolah dan kebutuhan keluarga seharihari,masalah akses kartan berkaitan kaliyan biaya penunjang sekolahuga kebetahan keluarga sadintendinten 
anak tidak mau sekolah juga menjadi persoalan utama mengapa anak tidak melanjutkan sekolah ke smp atau terpaksa putus sekolah,anak mboten kersa sekolah ugi dados persoalan utami kenging punapa anak mboten nglajengaken sekolah datheng smp utawi kepeksa putus sekolah
ia juga merasa tidak melihat masa depan yang lebih baik dengan melanjutkan sekolah,piyambakipun ugi rumaos mboten ningali masa ngajeng ingkang langkung sae kaliyan nglajengaken sekolah 
alasanalasan lainnya meliputi  otak berat  yang  kebandelan  atau kenakalan remaja,alasanalasan bentenipun meliputi otak anteb  ingkang kebandelan utawi kembelingan remaja 
sebagian besar siswa tidak pernah tidak masuk sekolah dalam waktu yang panjang,sakunjukan ageng siswa mboten nate mboten mlebet sekolahlebet wanci ingkang panjang 
alasan ekonomi juga menjadi sebab mengapa anak tidak masuk sekolah,alasan ekonomi ugi dados amergi kenging punapa anak mboten mlebet sekolah 
berdasarkan temuantemuan tersebut  pelaksana pnpm generasi dan pkh harus memperhatikan paling tidak tiga hal utama  yaitu,berdasarkan panggihanpanggihan kesebat pamonten pnpmgenerasi uga pkh kedah mirengaken paling mboten telu halutami yaiku 
terkait dengan butir b  informan di setiap tingkat tidak hanya dibatasi pada informan tertentu,terkait kaliyan butir b informan ing saben tingkat mboten namung dipunwatesi ing informan tertentu 
demikian juga di tingkat desa  perlu dilakukan wawancara terhadap kepala dusun  kepala urusan kesejahteraan  dan lainnya,mekaten ugi ing tingkat dhusun betah dipuntumindakake wawancara majeng sirah dusun sirah urusan kesejahteraan uga bentenipun 
waktu penelitian di desa hendaknya dibuat lebih lama minimal  hari,wanci penelitian ing dhusun badhenipun dipundamel langkung dangu minimal dinten 
kedua program tersebut didesain untuk mencapai sejumlah tujuan yang sama ,kaping kalih program kesebat dipundesain konjuk mencapaisawilangan tujuan ingkang sami 
dalam pnpm generasi  dana tunai dialokasikan ke komunitas  bukan ke rumah tangga secara perseorangan,lebet pnpm generasi dana tunai dialokasikan datheng komunitas sanes datheng griya tangga sacara perseorangan 
kedua program ini menargetkan  indikator sebagai syarat penerimaan rutin program,kaping kalih program niki menargetkan indikator dados syaratpanampen rutin program 
keharusan melahirkan dengan pertolongan tenaga kesehatan ,kekedahan babaran kaliyan tulungan tenaga kesarasan 
keharusan bagi ibu nifas untuk melakukan pemeriksaaan kesehatan ibu dan bayinya ,kekedahan kunjuk ibu nifas konjuk numindakake pemeriksaaankesarasan ibu uga bayinya 
dan keharusan bagi anak usia  bulan untuk mendapatkan vitamin a,uga kekedahan kunjuk anak umur  wulan konjuk nyagedaken vitamin a 
dalam pnpm generasi  persyaratan didasarkan pada kinerja pengelolaan keuangan di tiap desa,lebet pnpm generasi persyaratan didasarkan ing kinerjapengelolaan kartan ing saben dhusun 
agar dapat menerima transfer dana secara penuh  penerima pkh diharuskan mengunjungi fasilitas kesehatan dan hadir di sekolah,kajengipun saged nampi transfer dana sacara kebak panampi pkh dipunkedahaken mengunjungi fasilitas kesarasan uga dhateng ing sekolah 
data tersebut akan menjadi dasar untuk evaluasi dampak program di wilayah yang sama,data kesebat badhe dados dasar konjuk evaluasi dampakprogram ing wilayah ingkang sami 
efektivitas program diukur dengan membandingkan kondisi sebelum dan sesudah program dijalankan,efektivitas program diukur kaliyan mbandingaken kondisisadereng uga sasampun program dipunradinaken 
salah satu manfaat hasil studi ini berupa masukan bagi penyelenggaraan pnpm generasi dan program keluarga harapan,salah satunggal gina pikantuk studi niki berupa mlebetan kunjuk penyelenggaraan pnpm generasi uga program keluargaharapan 
studi juga menyediakan latar belakang konteks sosial beberapa lokasi program,studi ugi nyawisaken latar wingking konteks sosial beberapalokasi program
secara khusus  tujuan studi baseline kualitatif untuk program pnpm generasi dan pkh ini adalah ,sacara khusus tujuan studi baseline kualitatif konjuk programpnpm generasi uga pkh niki yaiku 
jawaban dari pertanyaan tersebut digali dari sisi supply ketersediaan pelayanan dan demand penggunaan pelayanan,wangsulan saking pitakenan kesebat dipunduduk saking sisisupply ketersediaan paladosan uga demand pangginan paladosan 
rincian pertanyaan pokok disajikan dalam tabel ,rincian pitakenan baku dipuncawisaken lebet tabel 
daftar informan dan fgd di setiap desakelurahan disajikan pada lampiran ,daftar informan uga fgd ing saben dhusunkelurahan dipuncawisaken ing lampiran 
wawancara mendalam terhadap informan kunci menggunakan panduan pertanyaan,wawancara nglebet majeng informan kunci ngginakaken panduan pitakenan 
fgd dilakukan menggunakan panduan pertanyaan diskusi,fgd dipuntumindakake ngginakaken panduan pitakenan diskusi 
delapan fgd telah dilakukan di setiap desa,wolu fgd sampun dipuntumindakake ing saben dhusun 
dan satu kelompok bapak dari anak usia smp,uga setunggal kelompok bapak saking anak umur smp 
beberapa pengamatan terhadap posyandu kemudian dilakukan setelah penelitian lapangan utama selesai,beberapa panyangetan majeng posyandu lajeng dipuntumindakake saksampune penelitian lapangan utami rampung 
seluruh hasil wawancara dan fgd dicatat dalam catatan lapangan field notes yang lengkap,sedaya pikantuk wawancara uga fgd dipuncatet lebet catetan lapangan field notes ingkang pepak 
di provinsi jawa barat  dua kabupaten yang dipilih adalah kabupaten sumedang dan kabupaten cirebon,ing provinsi jawi kilen  kalih kabupaten ingkang dipunpileh yaiku kabupaten sumedang uga kabupaten cirebon 
peta kabupaten dan kecamatan tersebut dapat dilihat pada lampiran ,peta kabupaten uga kecamatan kesebat saged dipunningal ing lampiran 
kriteria tambahan dalam pemilihan desakelurahan adalah jarak dari puskesmas dan tingkat keaktifan posyandu,kriteria minggahan lebet pamilehan dhusunkelurahan yaiku antawis saking puskesmas uga tingkat kaktifan posyandu 
pemilihan desakelurahan juga mempertimbangkan keberadaan dan jadwal penyelenggaraan posyandu,pamilehan dhusunkelurahan ugi metang kewontenan uga jadwalpenyelenggaraan posyandu 
atas dasar kriteria di atas  studi baseline kualitatif ini telah dilakukan di  desakelurahan tabel ,inggil dasar kriteria ing inggil studi baseline kualitatif niki sampun dipuntumindakake ing dhusunkelurahan tabel 
di setiap desakelurahan dipilih dua area biasanya dusun sebagai wilayah studi di tingkat komunitas,ing saben dhusunkelurahan dipunpileh kalih area biyasanipun dusun dados wilayah studi ing tingkat komunitas 
diupayakan supaya di antara peserta fgd  ada juga yang sedang hamil,diupayakan supados ing antawis pamawi fgd enten ugi ingkang saweg ngandheg 
di antara peserta tersebut  juga diupayakan supaya ada orang tua yang anaknya putus sekolah atau tidak melanjutkan sekolah,ing antawis pamawi kesebat ugi diupayakan supados enten tiyang sepuh ingkang anakipun putus sekolah utawi mboten nglajengaken sekolah 
pemilihan sekolah ini pada kebanyakan kasus dilakukan setelah dilakukan fgd di tingkat sd dan smp,pamilehan sekolah niki ing kekathahen kasus dipuntumindakake saksampune dipuntumindakake fgd ing tingkat sd uga smp 
 struktur laporan laporan ini dibagi menjadi lima bab, struktur laporan laporan niki dipunpara dados gangsal bab 
bab iii merupakan sintesis dari ketersediaan dan penggunaan pelayanan kesehatan ibu dan anak,bab iii ngrupikaken sintesis saking ketersediaan uga pangginan paladosan kesarasan ibu uga anak 
bab iv merupakan sintesis dari ketersediaan dan penggunaan pelayanan pendidikan dasar,bab iv ngrupikaken sintesis saking ketersediaan uga pangginan paladosan pamucalan dasar 
bab v menyajikan kesimpulan dari keseluruhan penelitian dan rekomendasi untuk pelaksanaan dan hasil pnpm generasi dan pkh,bab v nyawisaken kesimpulan saking kesedayan penelitian uga rekomendasi konjuk pamontenan uga pikantuk pnpm generasiuga pkh 
satu desa yang mudah diakses dan satu desa yang relatif sulit diakses,setunggal dhusun ingkang gampil diakses uga setunggal dhusun ingkang relatif rekaos diakses 
selain pertimbangan pemilihan tersebut  pertimbangan lainnya adalah bahwa kedua kelurahan memiliki dukun beranak paling banyak,kajawi pertimbangan pamilehan kesebat pertimbanganbentenipun yaiku menawi kaping kalih kelurahan nggadhahi dukun nduwe anak paling kathah 
namun  ada juga dua desa yang masih mengalami hambatan dalam mengakses sarana angkutan umum,nanging enten ugi kalih dhusun ingkang taksih ngalami hambatan lebet mengakses pirantos usungan umum 
desa pamekaran di kecamatan rancakalong  sumedang dan desa tangkil di kecamatan susukan  cirebon,dhusun pamekaran ing kecamatan rancakalong sumedanguga dhusun tangkil ing kecamatan sesepanaken cirebon 
